objectid,parentid,filename,format,language,title,location,performer,date,composer,venue,period,nationality
pw_001,,pw_001.pdf,application/pdf,eng,Pittsburgh Symphony Orchestra 2023-06-09,"Pittsburgh, PA",Pittsburgh Symphony Orchestra,2023-06-09,"Gershwin, George, 1898-1937; Garrop, Stacy, 1969-; Strauss, Richard, 1864-1949; Ravel, Maurice, 1875-1937",Heinz Hall,Modern; Contemporary,American; German; French
pw_002,,,multiple,eng,Indiana University Voces Caelestes 2024-02-13,"Bloomington, IN",Indiana University Voces Caelestes,2024-02-13,"Paulus, Stephen; Mendelssohn-Bartholdy, Felix, 1809-1847; Kodály, Zoltán, 1882-1967; Carrillo, César Alejandro, 1957-; Brahms, Johannes, 1833-1897; Rheinberger, Josef, 1839-1901; Kõrvits, Tõnu, 1969-; Galbraith, Nancy, 1951-",Auer Hall,Romantic; Modern; Contemporary,American; German; Hungarian; Venezuelan; Liechtensteiner; Estonian
pw_003,pw_002,pw_003.jpg,image/jpeg,eng,Indiana University Voces Caelestes 2024-02-13 Page 1,,,,,,,
pw_004,pw_002,pw_004.jpg,image/jpeg,eng,Indiana University Voces Caelestes 2024-02-13 Page 2,,,,,,,
pw_005,,pw_005.jpg,image/jpeg,eng,Indiana University Chamber Orchestra 2024-10-23,"Bloomington, IN",Indiana University Chamber Orchestra,2024-10-23,"Haydn, Joseph, 1732-1809; Phan, P. Q., 1947-; Milhaud, Darius, 1892-1974",Auer Hall,Classical; Modern; Contemporary,Austrian; Vietmanese; French
pw_006,,pw_006.jpg,image/jpeg,eng,Indiana University Philharmonic Orchestra 2024-09-14,"Bloomington, IN",Indiana University Philharmonic Orchestra,2024-09-14,"Frank, Gabriela Lena; Britten, Benjamin, 1913-1976; Brahms, Johannes, 1833-1897",Musical Arts Center,Contemporary; Modern; Romantic,American; English; German
pw_007,,pw_007.jpg,image/jpeg,eng,Indiana University Symphony Orchestra 2024-09-15,"Bloomington, IN",Indiana University Symphony Orchestra,2024-09-15,"Hailstork, Adolphus C.; Tower, Joan, 1938-; Respighi, Ottorino, 1879-1936",Musical Arts Center,Modern; Contemporary,American; Italian
pw_008,,pw_008.jpg,multiple,eng,Sanctuary Choir Section Leaders 2024-09-29,"Indianapolis, IN",Sanctuary Choir Section Leaders,2024-09-29,"Ives, Charles, 1874-1954; Copland, Aaron, 1900-1990; Quilter, Roger, 1877-1953; Ravel, Maurice, 1875-1937; Strauss, Richard, 1864-1949; Fauré, Gabriel, 1845-1924",Second Presbyterian Church,Modern; Romantic,American; English; German; French
pw_009,pw_008,pw_009.jpg,image/jpeg,eng,Sanctuary Choir Section Leaders 2024-09-29 Page 1,,,,,,,
pw_010,pw_008,pw_010.jpg,image/jpeg,eng,Sanctuary Choir Section Leaders 2024-09-29 Page 2,,,,,,,
pw_011,pw_008,pw_011.jpg,image/jpeg,eng,Sanctuary Choir Section Leaders 2024-09-29 Page 3,,,,,,,
pw_012,,pw_012.jpg,multiple,eng,Indiana University Singers 2024-10-16,"Bloomington, IN",Indiana University Singers,2024-10-16,"Fauré, Gabriel, 1845-1924; Debussy, Claude, 1862-1918; Ravel, Maurice, 1875-1937; Boulanger, Lili, 1893-1918",Auer Hall,Romantic; Modern,French
pw_013,pw_012,pw_013.jpg,image/jpeg,eng,Indiana University Singers 2024-10-16 Page 1,,,,,,,
pw_014,pw_012,pw_014.jpg,image/jpeg,eng,Indiana University Singers 2024-10-16 Page 2,,,,,,,
pw_015,,pw_015.jpg,image/jpeg,eng,Sanctuary Choir 2024-04-28,"Indianapolis, IN",Sanctuary Choir,2024-04-28,"Puccini, Giacomo, 1858-1924",Second Presbyterian Church,Romantic,Italian
pw_016,,pw_016.jpg,multiple,eng,Sanctuary Choir Section Leaders 2024-02-11,"Indianapolis, IN",Sanctuary Choir Section Leaders,2024-02-11,"Wildhorn, Frank; Gounod, Charles, 1818-1893; Rodgers, Richard, 1902-1979; Schumann, Robert, 1810-1856; Schubert, Franz, 1797-1828; Hahn, Reynaldo, 1875-1947; Quilter, Roger, 1877-1953; Bernstein, Leonard, 1918-1990; Strauss, Richard, 1864-1949",Second Presbyterian Church,Classical; Romantic; Modern; Contemporary,American; French; German; Austrian; English
pw_017,pw_016,pw_017.jpg,image/jpeg,eng,Sanctuary Choir Section Leaders 2024-02-11 Page 1,,,,,,,
pw_018,pw_016,pw_018.jpg,image/jpeg,eng,Sanctuary Choir Section Leaders 2024-02-11 Page 2,,,,,,,
pw_019,pw_016,pw_019.jpg,image/jpeg,eng,Sanctuary Choir Section Leaders 2024-02-11 Page 3,,,,,,,
pw_020,pw_016,pw_020.jpg,image/jpeg,eng,Sanctuary Choir Section Leaders 2024-02-11 Page 4,,,,,,,
pw_021,pw_016,pw_021.jpg,image/jpeg,eng,Sanctuary Choir Section Leaders 2024-02-11 Page 5,,,,,,,
pw_022,pw_016,pw_022.jpg,image/jpeg,eng,Sanctuary Choir Section Leaders 2024-02-11 Page 6,,,,,,,
pw_023,pw_016,pw_023.jpg,image/jpeg,eng,Sanctuary Choir Section Leaders 2024-02-11 Page 7,,,,,,,
pw_024,,pw_024.jpg,image/jpeg,eng,Noah Gruenberg 2024-02-08,"Urbana, IL","Gruenberg, Noah",2024-02-08,"Knoebel, Genevieve; Bach, Johann Sebastian, 1685-1750; Micha, Raymond, 1910-2006; Glass, Philip; Davenport, Will; Gershwin, George, 1898-1937; Mozart, Wolfgang Amadeus, 1756-1791",Illini Union Courtyard,Contemporary; Baroque; Modern; Classical,American; German; Austrian; Belgian
pw_025,,pw_025.jpg,multiple,eng,Kristin Shaffer 2024-04-10,"Bloomington, IN","Shaffer, Kristin",2024-04-10,"Bernstein, Leonard, 1918-1990; Viardot-García, Pauline, 1821-1910; Berg, Alban, 1885-1935; Elgar, Edward, 1857-1934; Mozart, Wolfgang Amadeus, 1756-1791",Ford-Crawford Hall,Classical; Romantic; Modern,American; French; Austrian; English
pw_026,pw_025,pw_026.jpg,image/jpeg,eng,Kristin Shaffer 2024-04-10 Page 1,,,,,,,
pw_027,pw_025,pw_027.jpg,image/jpeg,eng,Kristin Shaffer 2024-04-10 Page 2,,,,,,,
pw_028,,pw_028.jpg,multiple,eng,Indiana University Baroque Orchestra 2024-04-13,"Bloomington, IN",Indiana University Baroque Orchestra,2024-04-13,"Vivaldi, Antonio, 1678-1741",Auer Hall,Baroque,Italian
pw_029,pw_028,pw_029.jpg,image/jpeg,eng,Indiana University Baroque Orchestra 2024-04-13 Page 1,,,,,,,
pw_030,pw_028,pw_030.jpg,image/jpeg,eng,Indiana University Baroque Orchestra 2024-04-13 Page 2,,,,,,,
pw_031,pw_028,pw_031.jpg,image/jpeg,eng,Indiana University Baroque Orchestra 2024-04-13 Page 3,,,,,,,
pw_032,,pw_032.jpg,image/jpeg,eng,Indiana University Chorale 2024-04-16,"Bloomington, IN",Indiana University Chorale,2024-04-16,"Haydn, Joseph, 1732-1809",Auer Hall,Classical ,Austrian
pw_033,,pw_033.jpg,image/jpeg,eng,Ha Eun Kim 2024-02-01,"Bloomington, IN","Kim, Ha Eun",2024-02-01,"Haydn, Joseph, 1732-1809; Price, Florence, 1887-1953; Brahms, Johannes, 1833-1897",Auer Hall,Classical; Romantic; Modern,American; Austrian; German
pw_034,,,multiple,eng,Indiana University Concert Orchestra 2024-01-24,"Bloomington, IN",Indiana University Concert Orchestra,2024-01-24,"Enesco, Georges, 1881-1955; Castelnuovo-Tedesco, Mario, 1895-1968; Elgar, Edward, 1857-1934",Musical Arts Center,Romantic; Modern,Romanian; Italian; English
pw_035,,pw_035.jpg,image/jpeg,eng,Indiana University Concert Orchestra 2024-01-24 Page 1,,,,,,,
pw_036,,pw_036.jpg,image/jpeg,eng,Indiana University Concert Orchestra 2024-01-24 Page 2,,,,,,,
pw_037,,,multiple,eng,Indiana University Notus 2024-01-23,"Bloomington, IN",Indiana University Notus,2024-01-23,"Howells, Herbert, 1892-1983; Menotti, Gian Carlo, 1911-2007",Auer Hall,Modern,English; Italian
pw_038,,pw_038.jpg,image/jpeg,eng,Indiana University Notus 2024-01-23 Page 1,,,,,,,
pw_039,,pw_039.jpg,image/jpeg,eng,Indiana University Notus 2024-01-23 Page 2,,,,,,,
pw_040,,pw_040.jpg,image/jpeg,eng,Indiana University Notus 2024-01-23 Page 3,,,,,,,
pw_041,,,multiple,eng,Indiana University Concert Orchestra 2024-04-08,"Bloomington, IN",Indiana University Concert Orchestra,2024-04-08,"Barber, Samuel, 1910-1981; Holst, Gustav, 1874-1934",IU Auditorium,Modern,American; English
pw_042,,pw_042.jpg,image/jpeg,eng,Indiana University Concert Orchestra 2024-04-08 Page 1,,,,,,,
pw_043,,pw_043.jpg,image/jpeg,eng,Indiana University Concert Orchestra 2024-04-08 Page 2,,,,,,,
pw_044,,pw_044.jpg,image/jpeg,eng,Indiana University Concert Orchestra 2024-04-08 Page 3,,,,,,,